"epsilon","switch_rate","res_time","variable","panel","value","epsilon_fac","exp_res_fac"
0.25,0.2,5,"r0","metric",1.71195802449917,"0.25","5"
0.5,0.2,5,"r0","metric",1.76131619002916,"0.5","5"
0.75,0.2,5,"r0","metric",1.82749429070332,"0.75","5"
1,0.2,5,"r0","metric",1.91806770941881,"1","5"
0,0,Inf,"r0","diff",0,"0","Inf"
0.25,0,Inf,"r0","diff",0.134887225266566,"0.25","Inf"
0.5,0,Inf,"r0","diff",0.331548906897939,"0.5","Inf"
0.75,0,Inf,"r0","diff",0.614054761137965,"0.75","Inf"
1,0,Inf,"r0","diff",0.988917692182251,"1","Inf"
0,0.02,50,"r0","diff",-0.0592623088702493,"0","50"
0.25,0.02,50,"r0","diff",0.0547045012626031,"0.25","50"
0.5,0.02,50,"r0","diff",0.218901704990722,"0.5","50"
0.75,0.02,50,"r0","diff",0.455001467561202,"0.75","50"
1,0.02,50,"r0","diff",0.774000816923581,"1","50"
0,0.05,20,"r0","diff",-0.130377079514547,"0","20"
0.25,0.05,20,"r0","diff",-0.0397812789655887,"0.25","20"
0.5,0.05,20,"r0","diff",0.0883391569647962,"0.5","20"
0.75,0.05,20,"r0","diff",0.271696517631097,"0.75","20"
1,0.05,20,"r0","diff",0.524241493359044,"1","20"
0,0.2,5,"r0","diff",-0.325942698786369,"0","5"
0.25,0.2,5,"r0","diff",-0.288041975500831,"0.25","5"
0.5,0.2,5,"r0","diff",-0.238683809970844,"0.5","5"
0.75,0.2,5,"r0","diff",-0.17250570929668,"0.75","5"
1,0.2,5,"r0","diff",-0.0819322905811894,"1","5"
