class,start_time,end_time,duration,final_size,ptEI,ptI,psEI,psI,hit,hit_time,rt_at_hit,r0,spectral_gap,switch_rate,residence_time,calibration,hom_r0
-1,0,272.218147876525,272.218147876525,0.605856154976342,81.8054536969131,83.4055603706914,0.0712805876285903,0.040599541236694,0.395948802463301,86.8057870524702,0.99815351597966,1.66809807077004,1.62525177169329,1,1,Fixed p,1.5147825847944
-1,0,255.617041136076,255.617041136076,0.629903705222267,75.0050003333556,76.8051203413561,0.0809478703695166,0.0460761140250351,0.425393128225682,81.005400360024,0.998088563909227,1.78111790401024,1.71106181669351,0.5,2,Fixed p,1.5147825847944
-1,0,243.216214414294,243.216214414294,0.650462544049015,69.604640309354,71.4047603173545,0.0901081485944538,0.0512562922397108,0.439923392120238,75.2050136675778,0.998094761418305,1.86751045881525,1.77861523028795,0.333333333333333,3,Fixed p,1.5147825847944
-1,0,235.615707713848,235.615707713848,0.665225643343601,65.6043736249083,67.2044802986866,0.0974858004795824,0.0554218019914101,0.446420639868086,70.6047069804654,0.996179682970515,1.93555822392495,1.83282985265533,0.25,4,Fixed p,1.5147825847944
-1,0,231.41542769518,231.41542769518,0.674999885995436,62.4041602773518,64.2042802853524,0.1030713898339,0.0585679481286116,0.444621004416944,66.804453630242,0.999177877574023,1.99048597778573,1.87715976191272,0.2,5,Fixed p,1.5147825847944
-1,0,230.015334355624,230.015334355624,0.681035273979913,60.0040002666844,61.804120274685,0.107193896724769,0.0608856879586002,0.442370078806437,64.0042669511301,0.99709048148861,2.03572737381731,1.91401719152169,0.166666666666667,6,Fixed p,1.5147825847944
-1,0,230.215347689846,230.215347689846,0.684388359069269,58.2038802586839,60.0040002666844,0.110215680632351,0.0625784200036281,0.436006406127502,61.6041069404627,0.999175771121898,2.07362308438698,1.94511168215994,0.142857142857143,7,Fixed p,1.5147825847944
-1,0,231.815454363624,231.815454363624,0.685842084841823,56.803786919128,58.4038935929062,0.112426395020571,0.0638141791841601,0.431238690015791,59.8039869324622,0.996553646824406,2.10582013762041,1.97167891932112,0.125,8,Fixed p,1.5147825847944
-1,0,234.415627708514,234.415627708514,0.685953424038812,55.403693579572,57.2038135875725,0.114050454765077,0.0647187426588319,0.424444808052459,58.2038802586839,0.997035809633437,2.13350960490376,1.99463021704837,0.111111111111111,9,Fixed p,1.5147825847944
-1,0,237.815854390293,237.815854390293,0.685114950765983,54.4036269084606,56.2037469164611,0.115250028355817,0.0653824438116892,0.41694396186559,56.803786919128,0.998891062857388,2.15757343835105,2.01465052805597,0.1,10,Fixed p,1.5147825847944
-1,0,241.816121074738,241.816121074738,0.683604162856547,53.6035735715714,55.403693579572,0.116138220859733,0.0658698140926687,0.412763792213534,55.8037202480165,0.994472619475041,2.17867827162875,2.0322636882832,0.0909090909090909,11,Fixed p,1.5147825847944
-1,0,246.216414427629,246.216414427629,0.681618775455286,52.8035202346823,54.6036402426828,0.116795193535811,0.0662295686859793,0.406542695770172,54.8036535769051,0.994669720188691,2.19733715031615,2.04787666942094,0.0833333333333333,12,Fixed p,1.5147825847944
-1,0,251.016734448963,251.016734448963,0.679301059201955,52.2034802320155,54.003600240016,0.11728363727601,0.0664926548695325,0.39869620259687,53.8035869057937,0.999055064964075,2.21395124320395,2.06181017573392,0.0769230769230769,13,Fixed p,1.5147825847944
-1,0,256.217081138743,256.217081138743,0.676754348795386,51.6034402293486,53.4035602373492,0.117643986002363,0.0666856065563239,0.395845487438423,53.2035469031269,0.993611785964463,2.22883869575361,2.07432019509839,0.0714285714285714,14,Fixed p,1.5147825847944
-1,0,261.817454496967,261.817454496967,0.674054362193528,51.2034135609041,52.8035202346823,0.117907463394509,0.0668238225175281,0.388851833593544,52.4034935662378,0.997907424178518,2.24225501147856,2.08561344540038,0.0666666666666667,15,Fixed p,1.5147825847944
-1,0,267.617841189413,267.617841189413,0.671256954243916,50.6033735582372,52.4034935662378,0.118099286260212,0.0669231414845505,0.384210701822917,51.8034535635709,0.997872488527099,2.25440772150948,2.09585862601312,0.0625,16,Fixed p,1.5147825847944
-1,0,273.818254550303,273.818254550303,0.668403704270911,50.2033468897927,52.0034668977932,0.118236075817571,0.0669908778718766,0.382114007019552,51.4034268951264,0.992736840727786,2.26546712291616,2.10519473686975,0.0588235294117647,17,Fixed p,1.5147825847944
-1,0,280.218681245416,280.218681245416,0.665525552245733,50.0033335555704,51.6034402293486,0.118330181348664,0.0670344298220998,0.376272340492745,50.8033868924595,0.996937236044162,2.27557426029596,2.1137373145618,0.0555555555555556,18,Fixed p,1.5147825847944
-1,0,286.819121274752,286.819121274752,0.662645684452491,49.6033068871258,51.4034268951264,0.118393830502563,0.0670605437789503,0.373192999974765,50.4033602240149,0.995373058172956,2.28484694120835,2.12158316661173,0.0526315789473684,19,Fixed p,1.5147825847944
-1,0,293.819587972532,293.819587972532,0.659781508950826,49.2032802186813,51.0034002266818,0.118426582024668,0.0670732879305641,0.369735002915736,50.0033335555704,0.995324883243286,2.29338432750488,2.12881400783744,0.05,20,Fixed p,1.5147825847944
-1,0,301.020068004534,301.020068004534,0.656945947750231,49.003266884459,50.8033868924595,0.118445909080288,0.0670749529599771,0.365951874671989,49.6033068871258,0.996687224953896,2.30127048051209,2.13549928372273,0.0476190476190476,21,Fixed p,1.5147825847944
-1,0,308.62057470498,308.62057470498,0.654148698723791,48.8032535502367,50.6033735582372,0.118446884983008,0.0670671751121021,0.361885863318097,49.2032802186813,0.9993754302499,2.30857712770544,2.14169838455618,0.0454545454545455,22,Fixed p,1.5147825847944
-1,0,316.421094739649,316.421094739649,0.651396827712308,48.6032402160144,50.2033468897927,0.118435170948576,0.0670538353273873,0.360851495229524,49.003266884459,0.994888966528729,2.31536584310023,2.14746239795076,0.0434782608695652,23,Fixed p,1.5147825847944
-1,0,324.421628108541,324.421628108541,0.648695511922947,48.4032268817921,50.0033335555704,0.118414599243196,0.0670363894781392,0.35633427670997,48.6032402160144,0.999814565994413,2.32168978123998,2.15283550797168,0.0416666666666667,24,Fixed p,1.5147825847944
-1,0,332.822188145876,332.822188145876,0.646048490033311,48.2032135475699,49.8033202213481,0.118387646157712,0.0670147373354497,0.35491845239173,48.4032268817921,0.99713983896202,2.32759506781026,2.15785612111766,0.04,25,Fixed p,1.5147825847944
-1,0,341.622774851657,341.622774851657,0.643458306082108,48.0032002133476,49.8033202213481,0.118355780622383,0.0669898908831712,0.353345579109979,48.2032135475699,0.995232472935913,2.33312192361882,2.16255777928032,0.0384615384615385,26,Fixed p,1.5147825847944
-1,0,350.823388225882,350.823388225882,0.640926623044109,47.8031868791253,49.6033068871258,0.118319722725477,0.0669646719911855,0.351634328174668,48.0032002133476,0.994036849163483,2.33830557970188,2.16696990517474,0.037037037037037,27,Fixed p,1.5147825847944
-1,0,360.424028268551,360.424028268551,0.638454427244599,47.603173544903,49.4032935529035,0.118279636528947,0.0669377576344944,0.349800294074106,47.8031868791253,0.993504739037032,2.34317702745499,2.17111841498089,0.0357142857142857,28,Fixed p,1.5147825847944
-1,0,370.424694979665,370.424694979665,0.636042187608824,47.4031602106807,49.2032802186813,0.118235274662731,0.066908992904723,0.34785656592268,47.603173544903,0.993594122009008,2.34776363745659,2.17502622495461,0.0344827586206897,29,Fixed p,1.5147825847944
-1,0,380.825388359224,380.825388359224,0.63368998053503,47.4031602106807,49.003266884459,0.118193314421981,0.0668780582235913,0.345814183200775,47.4031602106807,0.99426821912963,2.35208967302628,2.1787136727861,0.0333333333333333,30,Fixed p,1.5147825847944
-1,0,391.626108407227,391.626108407227,0.631397588472517,47.2031468764584,49.003266884459,0.118149776955566,0.0668495745726982,0.343682501283858,47.2031468764584,0.995494698226817,2.35617671882285,2.18219886996459,0.032258064516129,31,Fixed p,1.5147825847944
-1,0,403.026868457897,403.026868457897,0.629164628324135,47.0031335422362,48.8032535502367,0.118101137832784,0.0668197611045549,0.341469486230161,47.0031335422362,0.997245016375018,2.36004404043301,2.18549799796298,0.03125,32,Fixed p,1.5147825847944
-1,0,415.027668511234,415.027668511234,0.626990514912709,47.0031335422362,48.8032535502367,0.11805895515323,0.0667887477838088,0.339181953779138,46.8031202080139,0.999493872725123,2.3637088875699,2.18862555840985,0.0303030303030303,33,Fixed p,1.5147825847944
-1,0,427.628508567238,427.628508567238,0.624874561968723,46.8031202080139,48.6032402160144,0.118011636505673,0.0667604060953555,0.340150148036058,46.8031202080139,0.992567850223667,2.36718675093173,2.1915945853692,0.0294117647058824,34,Fixed p,1.5147825847944
-1,0,440.829388625908,440.829388625908,0.622816024348069,46.8031202080139,48.6032402160144,0.117967836606714,0.066729125745522,0.337740448098463,46.6031068737916,0.995609312555577,2.37049158077522,2.19441682625219,0.0285714285714286,35,Fixed p,1.5147825847944
-1,0,454.830322021468,454.830322021468,0.620814183335546,46.6031068737916,48.4032268817921,0.117921319423182,0.066701906941242,0.335272190623326,46.4030935395693,0.999085183269057,2.37363597369768,2.1971028966336,0.0277777777777778,36,Fixed p,1.5147825847944
-1,0,469.631308753917,469.631308753917,0.618868277219327,46.6031068737916,48.4032268817921,0.117878624008377,0.0666717880792672,0.336081981454335,46.4030935395693,0.993064974944341,2.37663133289331,2.19966241325757,0.027027027027027,37,Fixed p,1.5147825847944
-1,0,485.432362157477,485.432362157477,0.616977627969687,46.4030935395693,48.2032135475699,0.117831629831118,0.0666449353101722,0.333519463958792,46.203080205347,0.997215271163823,2.37948800617545,2.2021041087322,0.0263157894736842,38,Fixed p,1.5147825847944
-1,0,502.033468897927,502.033468897927,0.615141516144767,46.4030935395693,48.2032135475699,0.11779174419207,0.0666168560179035,0.33424239188894,46.203080205347,0.991707248808592,2.3822154052815,2.20443593078586,0.0256410256410256,39,Fixed p,1.5147825847944
-1,0,519.83465564371,519.83465564371,0.613359453881378,46.4030935395693,48.0032002133476,0.117747081384859,0.0665893853216093,0.33159927066463,46.0030668711247,0.996469368965562,2.38482210935556,2.20666512845475,0.025,40,Fixed p,1.5147825847944
-1,0,538.635909060604,538.635909060604,0.611630908920107,46.203080205347,48.0032002133476,0.117706517342891,0.0665638583481922,0.332249525198702,46.0030668711247,0.991409655932413,2.38731595500333,2.20879832716461,0.024390243902439,41,Fixed p,1.5147825847944
-1,0,558.837255817055,558.837255817055,0.609955628312457,46.203080205347,48.0032002133476,0.117666572514686,0.0665364005371211,0.329536393866726,45.8030535369025,0.99673191580936,2.38970411490845,2.21084159434,0.0238095238095238,42,Fixed p,1.5147825847944
-1,0,580.638709247283,580.638709247283,0.608333465104136,46.203080205347,47.8031868791253,0.117623327428534,0.0665119664367716,0.330125265957678,45.8030535369025,0.992067079594195,2.3919931666699,2.21280049690589,0.0232558139534884,43,Fixed p,1.5147825847944
-1,0,604.04026935129,604.04026935129,0.606764407372292,46.0030668711247,47.8031868791253,0.117586702863132,0.0664876667279995,0.327350434355517,45.6030402026802,0.997906421827439,2.39418915325043,2.21468015182604,0.0227272727272727,44,Fixed p,1.5147825847944
-1,0,629.041936129075,629.041936129075,0.605248661654013,46.0030668711247,47.8031868791253,0.117549047882039,0.0664620251174682,0.327887000727681,45.6030402026802,0.993591403144334,2.3962976362047,2.21648527064205,0.0222222222222222,45,Fixed p,1.5147825847944
-1,0,656.243749583306,656.243749583306,0.603786841275373,46.0030668711247,47.603173544903,0.117509040215493,0.0664390242785547,0.325057059518408,45.4030268684579,0.999911653289453,2.3983237426735,2.21822019882734,0.0217391304347826,46,Fixed p,1.5147825847944
-1,0,685.645709713981,685.645709713981,0.602379712097518,45.8030535369025,47.603173544903,0.117473385112583,0.0664167597496418,0.325548686284283,45.4030268684579,0.995908171998738,2.40027220697944,2.21988895064648,0.0212765957446809,47,Fixed p,1.5147825847944
-1,0,717.647843189546,717.647843189546,0.601028495507718,45.8030535369025,47.603173544903,0.117439251862018,0.0663935320496904,0.326016287139311,45.4030268684579,0.99205229069263,2.40214740753371,2.22149524010734,0.0208333333333333,48,Fixed p,1.5147825847944
-1,0,752.450163344223,752.450163344223,0.599734781028759,45.8030535369025,47.4031602106807,0.117403383343533,0.0663702494088208,0.323121639147847,45.2030135342356,0.998954008415031,2.4039533996594,2.22304250850744,0.0204081632653061,49,Fixed p,1.5147825847944
-1,0,790.452696846456,790.452696846456,0.598500698813268,45.8030535369025,47.4031602106807,0.117366043621901,0.066350400687525,0.323553260940864,45.2030135342356,0.995361629829957,2.4056939448485,2.22453394900352,0.02,50,Fixed p,1.5147825847944
-1,0,155.810387359157,155.810387359157,0.497451917907183,43.2028801920128,44.8029868657911,0.114990749235192,0.0648831625408272,0.290193467211846,42.0028001866791,0.98765888372727,2.5,2.30568391596201,0,Inf,Fixed p,1.5147825847944
-1,0,156.210414027602,156.210414027602,0.853454567858118,46.0030668711247,47.603173544903,0.199526796433071,0.11258684971709,0.587177908935727,47.4031602106807,0.993166296218635,2.5,2.43578570135122,1,1,Recalibrated,1.5147825847944
-1,0,164.410960730715,164.410960730715,0.829469948437784,46.6031068737916,48.2032135475699,0.185045644459052,0.104524625678047,0.571158079706483,48.6032402160144,0.992631833984206,2.5,2.40166837473393,0.5,2,Recalibrated,1.5147825847944
-1,0,170.211347423162,170.211347423162,0.812780469001273,46.6031068737916,48.2032135475699,0.176767475278171,0.0998953883654543,0.554108794502582,48.8032535502367,0.993467141023005,2.5,2.38099768316198,0.333333333333333,3,Recalibrated,1.5147825847944
-1,0,175.611707447163,175.611707447163,0.799708322543319,46.4030935395693,48.0032002133476,0.170955069873719,0.096630516531387,0.536037852540532,48.6032402160144,0.996840399193342,2.5,2.367314284324,0.25,4,Recalibrated,1.5147825847944
-1,0,181.012067471165,181.012067471165,0.788634075758567,46.203080205347,48.0032002133476,0.166366660837148,0.0940491996247195,0.521342247154251,48.4032268817921,0.994098133844716,2.5,2.35766514165667,0.2,5,Recalibrated,1.5147825847944
-1,0,186.412427495166,186.412427495166,0.778809216174893,46.0030668711247,47.8031868791253,0.162527491780553,0.0918875528533134,0.50432679406159,48.0032002133476,0.998476495858999,2.5,2.35053231603971,0.166666666666667,6,Recalibrated,1.5147825847944
-1,0,192.01280085339,192.01280085339,0.769859613446607,45.8030535369025,47.603173544903,0.159218251129286,0.0900221537520153,0.492725160674857,47.8031868791253,0.99338233411757,2.5,2.3450641739154,0.142857142857143,7,Recalibrated,1.5147825847944
-1,0,197.813187545836,197.813187545836,0.761580513354693,45.6030402026802,47.4031602106807,0.156317450464317,0.0883855992653911,0.478020424370606,47.4031602106807,0.997512398876523,2.5,2.34074943545408,0.125,8,Recalibrated,1.5147825847944
-1,0,203.813587572505,203.813587572505,0.753848893226011,45.6030402026802,47.2031468764584,0.153755681441046,0.0869340922548628,0.468176613253805,47.2031468764584,0.993363001367263,2.5,2.3372641637795,0.111111111111111,9,Recalibrated,1.5147825847944
-1,0,209.813987599173,209.813987599173,0.746583884380906,45.4030268684579,47.2031468764584,0.151473533198949,0.0856434841294731,0.45501613180672,46.8031202080139,0.998908158018605,2.5,2.33439392171477,0.1,10,Recalibrated,1.5147825847944
-1,0,216.214414294286,216.214414294286,0.739728135987553,45.4030268684579,47.0031335422362,0.149422881171663,0.0844841323653061,0.4464407296001,46.6031068737916,0.996335401351307,2.5,2.33199150460603,0.0909090909090909,11,Recalibrated,1.5147825847944
-1,0,222.614840989399,222.614840989399,0.733237980585122,45.2030135342356,47.0031335422362,0.147585166847038,0.0834401598033054,0.438360795502627,46.4030935395693,0.994575415291449,2.5,2.32995272155469,0.0833333333333333,12,Recalibrated,1.5147825847944
-1,0,229.215281018735,229.215281018735,0.727078732702909,45.2030135342356,46.8031202080139,0.145914959452089,0.082495106387981,0.430715974907175,46.203080205347,0.993603225383337,2.5,2.32820187669324,0.0769230769230769,13,Recalibrated,1.5147825847944
-1,0,235.81572104807,235.81572104807,0.721221603653608,45.0030002000133,46.8031202080139,0.144406265167387,0.0816376548209758,0.423453841245803,46.0030668711247,0.993388524830106,2.5,2.32668272388934,0.0714285714285714,14,Recalibrated,1.5147825847944
-1,0,242.81618774585,242.81618774585,0.715642266377957,45.0030002000133,46.6031068737916,0.143026506224003,0.0808529586968741,0.416528699668008,45.8030535369025,0.993899289102128,2.5,2.32535264134063,0.0666666666666667,15,Recalibrated,1.5147825847944
-1,0,249.81665444363,249.81665444363,0.710319453927648,44.8029868657911,46.6031068737916,0.141764934593671,0.080139452773548,0.409900674741361,45.6030402026802,0.995103625317159,2.5,2.32417876990082,0.0625,16,Recalibrated,1.5147825847944
-1,0,257.017134475632,257.017134475632,0.705234612450683,44.8029868657911,46.6031068737916,0.140610932581446,0.0794818304215451,0.403534946451187,45.4030268684579,0.996970724018221,2.5,2.323135387372,0.0588235294117647,17,Recalibrated,1.5147825847944
-1,0,264.417627841856,264.417627841856,0.700371221252935,44.8029868657911,46.4030935395693,0.13954455114391,0.0788754774653174,0.397401087635557,45.2030135342356,0.999471331940616,2.5,2.32220208261506,0.0555555555555556,18,Recalibrated,1.5147825847944
-1,0,272.218147876525,272.218147876525,0.6957145438359,44.6029735315688,46.4030935395693,0.138560736265513,0.0783189039802906,0.395278233911775,45.2030135342356,0.992709477607929,2.5,2.32136246015863,0.0526315789473684,19,Recalibrated,1.5147825847944
-1,0,280.018667911194,280.018667911194,0.691251166601012,44.6029735315688,46.4030935395693,0.137654346221355,0.0778018622044876,0.389529203258681,45.0030002000133,0.996226567268915,2.5,2.32060320451556,0.05,20,Recalibrated,1.5147825847944
-1,0,288.019201280085,288.019201280085,0.686969093438636,44.6029735315688,46.4030935395693,0.136810464433211,0.0773204196504845,0.387715028857977,45.0030002000133,0.99027087565625,2.5,2.31991339328301,0.0476190476190476,21,Recalibrated,1.5147825847944
-1,0,296.419761317421,296.419761317421,0.682857433751879,44.6029735315688,46.203080205347,0.136023030469962,0.076874220984481,0.382276534736146,44.8029868657911,0.994684407613623,2.5,2.31928398541841,0.0454545454545455,22,Recalibrated,1.5147825847944
-1,0,305.020334688979,305.020334688979,0.678906169622422,44.4029601973465,46.203080205347,0.135290965656527,0.076459096493306,0.376968790248328,44.6029735315688,0.999601087059134,2.5,2.3187074348857,0.0434782608695652,23,Recalibrated,1.5147825847944
-1,0,313.82092139476,313.82092139476,0.675106194769227,44.4029601973465,46.203080205347,0.134609710259338,0.0760700945930608,0.37552807690499,44.6029735315688,0.994619102154548,2.5,2.31817739536878,0.0416666666666667,24,Recalibrated,1.5147825847944
-1,0,323.021534768985,323.021534768985,0.671449221672121,44.4029601973465,46.203080205347,0.133970173639439,0.0757048822885688,0.374173146601381,44.6029735315688,0.989916398646052,2.5,2.31768849204053,0.04,25,Recalibrated,1.5147825847944
-1,0,332.622174811654,332.622174811654,0.667927602842739,44.4029601973465,46.203080205347,0.133368720430032,0.0753613891858661,0.369193407387314,44.4029601973465,0.995847530489999,2.50000000000001,2.31723614332815,0.0384615384615385,26,Recalibrated,1.5147825847944
-1,0,342.622841522768,342.622841522768,0.664534312896915,44.4029601973465,46.0030668711247,0.13280211561232,0.0750411946351883,0.368010753160155,44.4029601973465,0.991636016013945,2.5,2.31681642038742,0.037037037037037,27,Recalibrated,1.5147825847944
-1,0,352.823521568105,352.823521568105,0.661262840616835,44.2029468631242,46.0030668711247,0.13226970554126,0.0747395568794661,0.363200810335054,44.2029468631242,0.998219836767984,2.5,2.31642593532404,0.0357142857142857,28,Recalibrated,1.5147825847944
-1,0,363.624241616108,363.624241616108,0.658107337853312,44.2029468631242,46.0030668711247,0.13177089814189,0.0744544694366102,0.362162460428857,44.2029468631242,0.994430872227594,2.5,2.3160617515472,0.0344827586206897,29,Recalibrated,1.5147825847944
-1,0,374.824988332556,374.824988332556,0.655062276977183,44.2029468631242,46.0030668711247,0.131298797129455,0.0741846290657691,0.361178534065058,44.2029468631242,0.990829994746893,2.5,2.3157213113211,0.0333333333333333,30,Recalibrated,1.5147825847944
-1,0,386.62577505167,386.62577505167,0.652122662618224,44.2029468631242,46.0030668711247,0.130851346854646,0.0739288634016438,0.356576368788311,44.0029335289019,0.998189206350738,2.5,2.315402376795,0.032258064516129,31,Recalibrated,1.5147825847944
-1,0,398.826588439229,398.826588439229,0.649283799821738,44.2029468631242,46.0030668711247,0.130426693816092,0.0736861152559817,0.355705624100396,44.0029335289019,0.994928640604735,2.5,2.31510298168207,0.03125,32,Recalibrated,1.5147825847944
-1,0,411.827455163678,411.827455163678,0.646541515939666,44.2029468631242,45.8030535369025,0.130023162871434,0.0734566803009163,0.354877387843928,44.0029335289019,0.991819351978898,2.5,2.31482139141503,0.0303030303030303,33,Recalibrated,1.5147825847944
-1,0,425.428361890793,425.428361890793,0.643891837959837,44.2029468631242,45.8030535369025,0.129639236659287,0.0732399452644617,0.350436241893806,43.8029201946797,0.9998543526349,2.5,2.31455607009733,0.0294117647058824,34,Recalibrated,1.5147825847944
-1,0,439.829321954797,439.829321954797,0.641331222889678,44.0029335289019,45.8030535369025,0.129274382264963,0.0730334880160336,0.349698184947964,43.8029201946797,0.997022990728707,2.5,2.31430565293819,0.0285714285714286,35,Recalibrated,1.5147825847944
-1,0,454.830322021468,454.830322021468,0.638856342884655,44.0029335289019,45.8030535369025,0.12893020667464,0.0728366029273299,0.348993817760755,43.8029201946797,0.994314907335074,2.5,2.31406892314128,0.0277777777777778,36,Recalibrated,1.5147825847944
-1,0,471.031402093473,471.031402093473,0.636464373179312,44.0029335289019,45.8030535369025,0.12860165293323,0.0726486467170204,0.348320920441905,43.8029201946797,0.991722237164712,2.50000000000001,2.31384479243117,0.027027027027027,37,Recalibrated,1.5147825847944
-1,0,488.032535502367,488.032535502367,0.634152535404919,44.0029335289019,45.8030535369025,0.12828769216059,0.0724690318063556,0.34767746053186,43.8029201946797,0.98923776958039,2.5,2.31363228456827,0.0263157894736842,38,Recalibrated,1.5147825847944
