"epsilon","switch_rate","res_time","hit_metric","hit_diff","final_size_metric","final_size_diff","end_time_metric","end_time_diff","r0_metric","r0_diff","psI_metric","psI_diff","ptI_metric","ptI_diff"
0,1,1,0.312144499083755,-0.187855500916245,0.486526842868724,-0.310617475689246,351.858643107185,192.958643107185,1.45676216868938,-0.543237831310616,0.0235253699987509,-0.0636759553141721,106.017669611602,48.1176696116019
0.111111111111111,1,1,0.31232928726416,-0.18767071273584,0.486583491006148,-0.310560827551822,351.858643107185,192.958643107185,1.45870416107815,-0.541295838921845,0.0235341405078011,-0.063667184805122,106.017669611602,48.1176696116019
0.222222222222222,1,1,0.313597039061656,-0.186402960938344,0.48664064249401,-0.31050367606396,351.858643107185,192.958643107185,1.46073623494366,-0.539263765056336,0.0235429854365929,-0.0636583398763301,106.017669611602,48.1176696116019
0.333333333333333,1,1,0.31486362487276,-0.18513637512724,0.486698255225989,-0.310446063331981,351.658609768295,192.758609768295,1.46286533946843,-0.537134660531574,0.0235519056755264,-0.0636494196373966,106.017669611602,48.1176696116019
0.444444444444444,1,1,0.315054933338029,-0.184945066661971,0.486756436437007,-0.310387882120963,351.658609768295,192.758609768295,1.46509916344261,-0.53490083655739,0.0235610144670614,-0.0636403108458617,105.817636272712,47.9176362727121
0.555555555555556,1,1,0.316322550366193,-0.183677449633807,0.486815144186171,-0.310329174371799,351.658609768295,192.758609768295,1.46744623368573,-0.532553766314271,0.02357023633944,-0.0636310889734831,105.817636272712,47.9176362727121
0.666666666666667,1,1,0.317588990965423,-0.182411009034577,0.486874336872988,-0.310269981684981,351.458576429405,192.558576429405,1.46991602877945,-0.530083971220548,0.023579538447487,-0.063621786865436,105.817636272712,47.9176362727121
0.777777777777778,1,1,0.318854236131943,-0.181145763868057,0.48693412220567,-0.3102101963523,351.458576429405,192.558576429405,1.47251911072736,-0.527480889272643,0.0235889217615999,-0.0636124035513231,105.817636272712,47.9176362727121
0.888888888888889,1,1,0.320118268026371,-0.179881731973629,0.486994458770203,-0.310149859787767,351.458576429405,192.558576429405,1.47526727760641,-0.524732722393585,0.0235983872596423,-0.0636029380532808,105.817636272712,47.9176362727121
1,1,1,0.321381070002295,-0.178618929997705,0.487055305527869,-0.310089013030101,351.258543090515,192.358543090515,1.47817374078503,-0.521826259214974,0.023607935926414,-0.0635933893865091,105.817636272712,47.9176362727121
