"epsilon","switch_rate","res_time","hit_metric","hit_diff","final_size_metric","final_size_diff","end_time_metric","end_time_diff","r0_metric","r0_diff","psI_metric","psI_diff","ptI_metric","ptI_diff"
0,1,1,0.312144499083755,-0.187855500916245,0.486526842868724,-0.310617475689246,351.858643107185,192.958643107185,1.45676216868938,-0.543237831310616,0.0235253699987509,-0.0636759553141721,106.017669611602,48.1176696116019
0.111111111111111,1,1,0.294671448732694,-0.205328551267306,0.455725238592169,-0.3414190799658,377.062843807301,218.162843807301,1.42041030674623,-0.579589693253773,0.0201734979758625,-0.0670278273370606,112.418736456076,54.518736456076
0.222222222222222,1,1,0.273817484800942,-0.226182515199058,0.418680619540003,-0.378463699017967,410.86847807968,251.96847807968,1.3797990191037,-0.620200980896296,0.0165963603812577,-0.0706049649316653,121.020170028338,63.120170028338
0.333333333333333,1,1,0.249703737362956,-0.250296262637044,0.373775853641999,-0.423368464915971,458.276379396566,299.376379396566,1.33455412536613,-0.665445874633867,0.0128611675635392,-0.0743401577493838,132.222037006168,74.3220370061677
0.444444444444444,1,1,0.220665683871655,-0.279334316128345,0.31912762841395,-0.47801669014402,528.488081346891,369.588081346891,1.28451719091897,-0.715482809081025,0.00910889255924369,-0.0780924327536793,147.824637439573,89.9246374395733
0.555555555555556,1,1,0.186408042565501,-0.313591957434499,0.252840340648175,-0.544303977909794,640.906817802967,482.006817802967,1.22992179397588,-0.770078206024118,0.00558758284509442,-0.0816137424678286,169.228204700783,111.328204700783
0.666666666666667,1,1,0.14628219618005,-0.35371780381995,0.1738800173389,-0.623264301219069,839.739956659443,680.839956659443,1.1715542217355,-0.8284457782645,0.00267652049172736,-0.0845248048211957,195.632605434239,137.732605434239
0.777777777777778,1,1,,,0.0865382261569341,-0.710606092401036,1182.99716619437,1024.09716619437,1.11078375595532,-0.889216244044678,0.000878215431695169,-0.0863231098812279,171.228538089682,113.328538089682
0.888888888888889,1,1,,,0.0261080571227224,-0.771036261435247,949.958326387731,791.058326387731,1.04937075230424,-0.950629247695765,0.000554880889064877,-0.0866464444238582,8.60143357226204,-49.298566427738
1,1,1,0.001,-0.499,0.0111990016128081,-0.785945316945162,474.679113185531,315.779113185531,0.989103008524662,-1.01089699147534,0.000535056680617584,-0.0866662686323054,6.80113352225371,-51.0988664777463
0,0.5,2,0.342448870162082,-0.157551129837918,0.51646565557422,-0.280678662983749,325.854309051509,166.954309051509,1.53436757316233,-0.46563242683767,0.0276564575195445,-0.0595448677933786,98.0163360560093,40.1163360560093
0.111111111111111,0.5,2,0.328686423793145,-0.171313576206855,0.488036160318416,-0.309108158239553,346.45774295716,187.55774295716,1.49943204348863,-0.500567956511368,0.0241558814210622,-0.0630454438918609,103.617269544924,45.7172695449242
0.222222222222222,0.5,2,0.311110979116077,-0.188889020883923,0.453800384891683,-0.343343933666287,374.062343723954,215.162343723954,1.4601067161231,-0.539893283876905,0.0203687282844641,-0.0668325970284589,110.818469744957,52.9184697449575
0.333333333333333,0.5,2,0.290341531196554,-0.209658468803446,0.412226266992521,-0.384918051565449,411.868644774129,252.968644774129,1.41597323831688,-0.584026761683117,0.0163415402556104,-0.0708597850573127,120.220036672779,62.3200366727788
0.444444444444444,0.5,2,0.265956042330583,-0.234043957669417,0.361495391245539,-0.435648927312431,466.277712952159,307.377712952159,1.36683347815814,-0.633166521841859,0.0121886345889141,-0.075012690724009,133.222203700617,75.3222037006168
0.555555555555556,0.5,2,0.236946038915336,-0.263053961084664,0.299667496144693,-0.497476822413276,550.091681946991,391.191681946991,1.31289886967071,-0.687101130329292,0.00812732015041782,-0.0790740051625052,151.42523753959,93.5252375395899
0.666666666666667,0.5,2,0.20267568450864,-0.29732431549136,0.225164802024426,-0.571979516533544,690.515085847641,531.615085847641,1.25496741765272,-0.745032582347282,0.00450606778258263,-0.0826952575303404,176.629438239707,118.729438239707
0.777777777777778,0.5,2,,,0.138390339533089,-0.658753979024881,951.75862643774,792.85862643774,1.19446607175043,-0.80553392824957,0.00180350488662465,-0.0853978204262984,200.833472245374,142.933472245374
0.888888888888889,0.5,2,,,,,,,1.1332573130644,-0.866742686935601,0.000581468020162983,-0.08661985729276,60.6101016836139,2.71010168361394
1,0.5,2,,,0.0162852288103381,-0.780859089747632,670.71178529755,511.81178529755,1.07325834079825,-0.926741659201751,0.000538852290609733,-0.0866624730223133,7.40123353892315,-50.4987664610769
0,0.333333333333333,3,0.361704641589881,-0.138295358410119,0.543998957015838,-0.253145361542132,304.850808468078,145.950808468078,1.59257162651704,-0.407428373482962,0.0318610050875989,-0.0553403202253242,91.4152358726454,33.5152358726454
0.111111111111111,0.333333333333333,3,0.34972444444102,-0.15027555555898,0.518148600185434,-0.278995718372536,322.053675612602,163.153675612602,1.55970785858441,-0.440292141415588,0.0283153365713819,-0.0588859887415411,96.216036006001,38.316036006001
0.222222222222222,0.333333333333333,3,0.334734223675052,-0.165265776324948,0.487021322041813,-0.310122996516157,344.257376229372,185.357376229372,1.52249221439386,-0.477507785606144,0.0244322703835073,-0.0627690549294157,102.017002833806,44.1170028338056
0.333333333333333,0.333333333333333,3,0.317334563700725,-0.182665436299275,0.449215576520847,-0.347928742037123,374.462410401734,215.562410401734,1.48048497775614,-0.519515022243857,0.0202353228706025,-0.0669660024423205,110.018336389398,52.1183363893982
0.444444444444444,0.333333333333333,3,0.296836223768245,-0.203163776231755,0.403051518529117,-0.394092800028853,416.669444907485,257.769444907485,1.43346861477471,-0.566531385225288,0.0158075255057752,-0.0713937998071478,120.620103350558,62.7201033505584
0.555555555555556,0.333333333333333,3,0.272518249311396,-0.227481750688604,0.346686888882455,-0.450457429675514,479.079846641107,320.179846641107,1.38164719771047,-0.618352802289528,0.0113259456660667,-0.0758753796468563,135.222537089515,77.3225370895149
0.666666666666667,0.333333333333333,3,0.244151088789934,-0.255848911210066,0.278425982492423,-0.518718336065546,577.896316052676,418.996316052676,1.32583741181734,-0.674162588182658,0.00709222874206689,-0.0801090965708561,156.226037672945,98.3260376729455
0.777777777777778,0.333333333333333,3,,,0.197429830956503,-0.599714487601467,750.525087514586,591.625087514586,1.26752329370742,-0.732476706292578,0.00353812724638543,-0.0836631980665376,185.030838473079,127.130838473079
