ξ,ε,residence_time,R0,p_ext
0.03333333333333333,0.0,30.0,0.9787725820024334,0.934
0.03333333333333333,0.1111111111111111,30.0,0.9904040740637345,0.938
0.03333333333333333,0.2222222222222222,30.0,1.0044098038636604,0.921
0.03333333333333333,0.3333333333333333,30.0,1.0215667894881115,0.905
0.03333333333333333,0.4444444444444444,30.0,1.0429801148225861,0.904
0.03333333333333333,0.5555555555555556,30.0,1.0702064557878845,0.888
0.03333333333333333,0.6666666666666666,30.0,1.1053361550777685,0.895
0.03333333333333333,0.7777777777777778,30.0,1.15084383656279,0.859
0.03333333333333333,0.8888888888888888,30.0,1.2089174736602457,0.866
0.03333333333333333,1.0,30.0,1.280345142917623,0.814
0.037914691943127965,0.0,26.375,0.9763200117955436,0.94
0.037914691943127965,0.1111111111111111,26.375,0.9875208786822453,0.938
0.037914691943127965,0.2222222222222222,26.375,1.0009695189153958,0.947
0.037914691943127965,0.3333333333333333,26.375,1.017390917473095,0.926
0.037914691943127965,0.4444444444444444,26.375,1.0378139557902213,0.925
0.037914691943127965,0.5555555555555556,26.375,1.0636890565017367,0.897
0.037914691943127965,0.6666666666666666,26.375,1.0969783255617094,0.894
0.037914691943127965,0.7777777777777778,26.375,1.1400556438678835,0.871
0.037914691943127965,0.8888888888888888,26.375,1.1951400821462594,0.87
0.037914691943127965,1.0,26.375,1.263249397733382,0.825
0.04395604395604396,0.0,22.75,0.9732266800030694,0.946
0.04395604395604396,0.1111111111111111,22.75,0.9838951988613236,0.943
0.04395604395604396,0.2222222222222222,22.75,0.9966579530216656,0.944
0.04395604395604396,0.3333333333333333,22.75,1.012177616090978,0.952
0.04395604395604396,0.4444444444444444,22.75,1.031391782632894,0.92
0.04395604395604396,0.5555555555555556,22.75,1.0556225589272712,0.909
0.04395604395604396,0.6666666666666666,22.75,1.0866727773808915,0.902
0.04395604395604396,0.7777777777777778,22.75,1.1267778706463818,0.876
0.04395604395604396,0.8888888888888888,22.75,1.1781616800568502,0.858
0.04395604395604396,1.0,22.75,1.242094478597282,0.859
0.05228758169934641,0.0,19.125,0.9692037459102666,0.954
0.05228758169934641,0.1111111111111111,19.125,0.9791980413229988,0.929
0.05228758169934641,0.2222222222222222,19.125,0.9910967327126221,0.936
0.05228758169934641,0.3333333333333333,19.125,1.005486880412668,0.937
0.05228758169934641,0.4444444444444444,19.125,1.0231953457643534,0.92
0.05228758169934641,0.5555555555555556,19.125,1.045387254220735,0.925
0.05228758169934641,0.6666666666666666,19.125,1.0736644471084498,0.912
0.05228758169934641,0.7777777777777778,19.125,1.1100683638412547,0.892
0.05228758169934641,0.8888888888888888,19.125,1.1567759607060517,0.896
0.05228758169934641,1.0,19.125,1.2153162743007901,0.858
