class,start_time,end_time,duration,final_size,ptEI,ptI,psEI,psI,hit,hit_time,rt_at_hit,r0,spectral_gap,switch_rate,residence_time,calibration,hom_r0
-1,0,203.213547569838,203.213547569838,0.742996825291669,61.0040669377959,62.8041869457964,0.125733487863766,0.0713703755441547,0.4917976021851,63.6042402826855,0.997246920763259,2.00171768492405,1.95030212603195,1,1,Fixed p,1.81773910175328
-1,0,196.013067537836,196.013067537836,0.754128251535659,56.803786919128,58.6039069271285,0.135139782868896,0.0766430861743736,0.508476863029169,59.8039869324622,0.999722779378081,2.13734148481229,2.05327418003221,0.5,2,Fixed p,1.81773910175328
-1,0,191.212747516501,191.212747516501,0.762782353981008,53.4035602373492,55.0036669111274,0.143362877770813,0.0812414891574216,0.515976723571226,56.4037602506834,0.994815460114317,2.2410125505783,2.13433827634554,0.333333333333333,3,Fixed p,1.81773910175328
-1,0,189.012600840056,189.012600840056,0.767733822971958,50.8033868924595,52.4034935662378,0.149369843895839,0.0845874723236801,0.514777467050372,53.6035735715714,0.992779253174624,2.32266986870994,2.1993958231864,0.25,4,Fixed p,1.81773910175328
-1,0,188.812587505834,188.812587505834,0.769706399466918,48.8032535502367,50.6033735582372,0.153477792111044,0.0868626415826634,0.505782171162726,51.2034135609041,0.99885518844874,2.38858317334288,2.25259171429526,0.2,5,Fixed p,1.81773910175328
-1,0,190.21268084539,190.21268084539,0.76958464022256,47.2031468764584,49.003266884459,0.156199446429396,0.0883640793544405,0.497574015477705,49.4032935529035,0.999268174161687,2.44287284858077,2.29682062982603,0.166666666666667,6,Fixed p,1.81773910175328
-1,0,192.812854190279,192.812854190279,0.768057103762925,46.0030668711247,47.8031868791253,0.157972474361129,0.0893302300425716,0.489911086596129,48.0032002133476,0.996850200772272,2.48834770126437,2.33413401859192,0.142857142857143,7,Fixed p,1.81773910175328
-1,0,196.013067537836,196.013067537836,0.765606087058403,45.2030135342356,46.8031202080139,0.159103627964718,0.0899364577296133,0.481137453945024,46.8031202080139,0.996607275782022,2.52698416514449,2.36601470318535,0.125,8,Fixed p,1.81773910175328
-1,0,200.013334222282,200.013334222282,0.762559628150546,44.4029601973465,46.0030668711247,0.159804364627017,0.09030245982091,0.472802871267103,45.8030535369025,0.995990645395655,2.56021152588452,2.39355626045804,0.111111111111111,9,Fixed p,1.81773910175328
-1,0,204.413627575172,204.413627575172,0.759139516201549,43.6029068604574,45.4030268684579,0.160216385301818,0.090508466705952,0.465981981531474,45.0030002000133,0.99293147712788,2.58908812602126,2.41758063366716,0.1,10,Fixed p,1.81773910175328
